日期時間,自動氣象站,相對濕度（百分比）,日期時間_temperature,氣溫（攝氏）,日期時間_pressure,平均海平面氣壓（百帕斯卡）,日期時間_wind,十分鐘平均風向（方位點）,十分鐘平均風速（公里/小時）,十分鐘最高陣風風速（公里/小時）,﻿日期時間,十分鐘平均能見度
2024-10-17 14:10:00,上水,64.0,2024-10-17 14:10:00,30.1,2024-10-17 14:10:00,1012.5,,,,,,
,中環,,,,,,,,,,2024-10-17 14:10:00,18 公里
,中環碼頭,,,,,,2024-10-17 14:10:00,東,15.0,20.0,,
2024-10-17 14:10:00,九龍城,76.0,2024-10-17 14:10:00,28.2,,,,,,,,
2024-10-17 14:10:00,京士柏,75.0,2024-10-17 14:10:00,28.0,,,2024-10-17 14:10:00,東,12.0,19.0,,
,元朗公園,,2024-10-17 14:10:00,30.1,,,,,,,,
2024-10-17 14:10:00,北潭涌,75.0,2024-10-17 14:10:00,28.2,,,,,,,,
,北角,,,,,,2024-10-17 14:10:00,東,16.0,22.0,,
,南丫島,,,,,,2024-10-17 14:10:00,東,13.0,22.0,,
,啟德,,,,,,2024-10-17 14:10:00,東,12.0,24.0,,
2024-10-17 14:10:00,啟德跑道公園,73.0,2024-10-17 14:10:00,28.4,,,,,,,,
2024-10-17 14:10:00,坪洲,78.0,2024-10-17 14:10:00,28.4,2024-10-17 14:10:00,1012.5,2024-10-17 14:10:00,東,22.0,25.0,,
,塔門,,,,,,2024-10-17 14:10:00,東南,30.0,35.0,,
2024-10-17 14:10:00,大埔,75.0,2024-10-17 14:10:00,28.7,2024-10-17 14:10:00,1013.1,,,,,,
,大埔滘,,,,,,2024-10-17 14:10:00,東,18.0,24.0,,
,大帽山,,2024-10-17 14:10:00,21.2,,,,,,,,
,大美督,,2024-10-17 14:10:00,27.4,,,2024-10-17 14:10:00,東南,17.0,24.0,,
,大老山,,2024-10-17 14:10:00,22.1,,,2024-10-17 14:10:00,東南,21.0,29.0,,
2024-10-17 14:10:00,大隴,67.0,2024-10-17 14:10:00,29.3,,,,,,,,
2024-10-17 14:10:00,天文台,73.0,2024-10-17 14:10:00,28.5,2024-10-17 14:10:00,1012.8,,,,,,
,天星碼頭,,,,,,2024-10-17 14:10:00,東,14.0,19.0,,
2024-10-17 14:10:00,將軍澳,79.0,2024-10-17 14:10:00,27.8,,,2024-10-17 14:10:00,東南,11.0,32.0,,
2024-10-17 14:10:00,屯門,57.0,2024-10-17 14:10:00,29.2,,,2024-10-17 14:10:00,南,18.0,33.0,,
,山頂,,2024-10-17 14:10:00,25.5,,,,,,,,
2024-10-17 14:10:00,打鼓嶺,72.0,2024-10-17 14:10:00,29.0,2024-10-17 14:10:00,1012.5,2024-10-17 14:10:00,東,9.0,17.0,,
,昂坪,,2024-10-17 14:10:00,,,,2024-10-17 14:10:00,東,26.0,40.0,,
2024-10-17 14:10:00,橫瀾島,82.0,2024-10-17 14:10:00,27.2,2024-10-17 14:10:00,1012.6,2024-10-17 14:10:00,東,17.0,23.0,2024-10-17 14:10:00,27 公里
,沙洲,,,,,,2024-10-17 14:10:00,東南,23.0,30.0,,
2024-10-17 14:10:00,沙田,77.0,2024-10-17 14:10:00,28.0,2024-10-17 14:10:00,1012.7,2024-10-17 14:10:00,東,6.0,14.0,,
2024-10-17 14:10:00,流浮山,66.0,2024-10-17 14:10:00,31.1,2024-10-17 14:10:00,1012.3,2024-10-17 14:10:00,東,14.0,23.0,,
,深水埗,,2024-10-17 14:10:00,28.8,,,,,,,,
2024-10-17 14:10:00,清水灣,81.0,2024-10-17 14:10:00,26.9,,,,,,,,
2024-10-17 14:10:00,滘西洲,78.0,2024-10-17 14:10:00,27.3,,,,,,,,
2024-10-17 14:10:00,濕地公園,68.0,2024-10-17 14:10:00,29.8,2024-10-17 14:10:00,1012.0,2024-10-17 14:10:00,東,7.0,15.0,,
2024-10-17 14:10:00,石崗,69.0,2024-10-17 14:10:00,29.1,2024-10-17 14:10:00,1012.2,2024-10-17 14:10:00,東北,15.0,22.0,,
2024-10-17 14:10:00,筲箕灣,82.0,2024-10-17 14:10:00,26.7,,,,,,,,
,荃灣可觀,,2024-10-17 14:10:00,28.3,,,,,,,,
,荃灣城門谷,,2024-10-17 14:10:00,28.6,,,,,,,,
,西灣河,,,,,,,,,,2024-10-17 14:10:00,23 公里
2024-10-17 14:10:00,西貢,77.0,2024-10-17 14:10:00,28.0,,,2024-10-17 14:10:00,東,14.0,22.0,,
,觀塘,,2024-10-17 14:10:00,27.0,,,,,,,,
,赤柱,,2024-10-17 14:10:00,27.8,,,2024-10-17 14:10:00,東南,15.0,23.0,,
2024-10-17 14:10:00,赤鱲角,63.0,2024-10-17 14:10:00,30.0,2024-10-17 14:10:00,1012.4,2024-10-17 14:10:00,東,19.0,27.0,2024-10-17 14:10:00,35 公里
,跑馬地,,2024-10-17 14:10:00,28.8,,,,,,,,
2024-10-17 14:10:00,長洲,79.0,2024-10-17 14:10:00,28.3,2024-10-17 14:10:00,1012.8,2024-10-17 14:10:00,東,22.0,30.0,,
,長洲泳灘,,,,,,2024-10-17 14:10:00,東,22.0,27.0,,
,青洲,,,,,,2024-10-17 14:10:00,東北,28.0,33.0,,
2024-10-17 14:10:00,青衣,65.0,2024-10-17 14:10:00,29.6,,,2024-10-17 14:10:00,東南,11.0,21.0,,
2024-10-17 14:10:00,香港公園,76.0,2024-10-17 14:10:00,27.8,,,,,,,,
,香港航海學校,,,,,,2024-10-17 14:10:00,東,21.0,28.0,,
,黃大仙,,2024-10-17 14:10:00,,,,,,,,,
2024-10-17 14:10:00,黃竹坑,72.0,2024-10-17 14:10:00,29.3,,,2024-10-17 14:10:00,東北,11.0,24.0,,
